"unique_id";"nom_unique";"camp_latitude";"camp_longitude";"type_camp";"iso3";"prison";"degurba";"clc_majoritaire_13_mixte";"eloignementschengen";"clc_majoritaire_2";"clc_majoritaire_3";"clc_majoritaire_23_mixte";"infrastructure_norm";"infrastructure_avant_conversion";"infrastructure_solidite";"infrastructure_confort";"pays_population";"pays_surfacekm2";"ville_proche_population";"distance_ville_proche";"mairie_distance";"atm_distance";"hopital_distance";"pharmacie_distance";"arret_bus_distance_km";"gare_distance_km";"medecin_clinique_hors_camp_distance_km";"dentiste_hors_camp_distance_km";"ecole_hors_camp_distance_km";"poste_hors_camp_distance_km";"distance_13_mines_decharges_chantiers";"distance_124_aeroport";"distance_123_zones_portuaires";"distance_122_reseaux_routiers";"distance_24_zones_agricoles_heterogenes";"distance_41_zones_humides_interieures";"distance_121_zi_zac";"distanceschengenkm";"eurostat_pop_2019";"camps_commune_surfacekm2";"capacite";"ecart_densites"
"3";"Wien  Rossauer Lande";48.22055;16.36745;"fermé";"AUT";"oui";"ville";"Tissu urbain continu";"loin_interne";"11";"111";"111";"dur / police";"pas de conversion";"4";"(manquant)";8879920;83993;3004660;2.312;1.418;0.235;0.45;0.543;0.436;0.184;0.301;0.553;0.436;0.092;8.518;15.469;5.861;1.241;4.702;42.271;0.702;58.29;1911191;413.46705327;353;1.64069722283366
"4";"Wien Hernalser Gurtel";48.21402;16.34109;"fermé";"AUT";"oui";"ville";"Tissu urbain continu";"loin_interne";"11";"111";"111";"dur / police";"pas de conversion";"4";"(manquant)";8879920;83993;3004660;4.194;1.205;0.449;0.348;0.474;0.199;0.398;0.187;0.226;0.505;0.409;10.534;16.54;6.675;1.797;4.858;42.929;0.487;61.416;1911191;413.46705327;244.185385656292;1.64069722283366
"14";"Eisenstadt PAZ";47.84762;16.53317;"fermé";"AUT";"non";"banlieue";"Zones industrielles ou commerciales et installations publiques";"proche_interne";"12";"121";"121";"dur / police";"pas de conversion";"4";"(manquant)";8879920;83993;3004660;62.521;0.949;0.358;2.028;0.788;0.036;0.734;0.784;0.709;0.065;0.566;5.743;19.449;12.69;4.118;0.22;10.583;0;15.956;14816;42.46519302;244.185385656292;0.518531907032555
"21";"Salzburg";47.77908;13.06718;"fermé";"AUT";"non";"ville";"Zones industrielles ou commerciales et installations publiques";"proche_interne";"12";"121";"121";"dur";"pas de conversion";"4";"(manquant)";8879920;83993;378171;3.866;4.277;0.798;1.973;0.182;0.214;1.55;0.242;0.534;0.671;0.666;6.501;4.087;95.186;3.624;0.18;10.954;0;12.153;155021;66.41892424;244.185385656292;1.34393273700098
"1090";"Neder-Over-Heembeek centre d'observation et d'orientation";50.9080415397713;4.39300425145677;"ouvert";"BEL";"non";"ville";"Zones industrielles ou commerciales et installations publiques";"loin_interne";"12";"121";"121";"dur / conversion";"institut médical";"4";"3";11488980;30670;3337567;12.944;4.43;4.874;0;2.296;0.29;2.742;0.447;3.758;0.937;0.76;20.203;3.461;26.452;1.251;0.022;2.367;0;64.612;204458;32.77139496;90;1.22154148266629
"1068";"Bovigny centre fédéral";50.2096288062765;5.89052634598556;"ouvert";"BEL";"non";"rural";"Zones industrielles ou commerciales et installations publiques";"proche_interne";"12";"121";"121";"dur / conversion";"base militaire";"4";"2";11488980;30670;107539;67.105;3.945;17.033;12.852;6.141;0.342;7.812;2.552;27.805;2.941;2.591;21.264;36.339;52.502;7.992;0.226;6.49;0;11.009;6024;165.39314855;500;-1.01220024908296
"1132";"Bruxelles - foyer Selah centre de réception";50.8563276206976;4.34655535003956;"ouvert";"BEL";"non";"ville";"Tissu urbain continu";"loin_interne";"11";"111";"111";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;3337567;4.475;0.858;0.558;0.702;0.622;0.308;0.422;0.702;0.973;0.356;0.305;18.328;8.161;30.189;0.948;3.65;8.931;0.226;73.052;204458;32.77139496;244.185385656292;1.22154148266629
"1111";"Jambes centre d'accueil";50.4469672894427;4.86628826079197;"ouvert";"BEL";"non";"ville";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;268649;2.459;3.385;2.772;3.123;1.252;0.161;1.709;1.143;3.077;0.718;1.743;4.156;26.189;32.807;2.287;0.483;55.046;2.176;50.102;112214;176.12701889;244.185385656292;0.230653361814191
"1110";"Belgrade centre d'accueil";50.4743066865434;4.82115811400023;"ouvert";"BEL";"non";"ville";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;268649;6.216;5.123;3.146;2.728;0.715;0.129;2.963;0.072;2.192;0.633;0.378;6.466;23.841;35.75;1.87;0.06;55.341;0.727;54.567;112214;176.12701889;244.185385656292;0.230653361814191
"1114";"Le relais du monde de Natoye - centre d'accueil";50.3437798761599;5.06523994838299;"ouvert";"BEL";"non";"rural";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;268649;29.583;6.913;10.885;9.252;6.987;0.438;0.45;6.041;9.363;1.112;4.731;11.325;29.981;27.074;3.398;0.426;45.164;4.124;40.925;7639;76.57840933;244.185385656292;-0.57463752844482
"1083";"Koksijde centre fédéral";51.1033375666789;2.63754539441138;"ouvert";"BEL";"non";"banlieue";"Tissu urbain discontinu";"proche_interne";"11";"112";"112";"dur / conversion";"base militaire";"4";"2";11488980;30670;131291;37.328;2.733;2.614;7.868;1.409;0.25;4.604;2.555;2.02;0.751;2.91;21.264;0.458;8.473;7.869;0.559;14.319;1.952;4.087;21881;45.04935174;300;0.112810922831544
"1077";"Ghent centre fédéral";51.0782092251938;3.73779305098753;"ouvert";"BEL";"non";"ville";"Surfaces en eau";"proche_interne";"51";"512";"51";"bateau";"pas de conversion";"2";"(manquant)";11488980;30670;650436;1.519;4.389;3.738;1.678;1.099;0.876;2.783;0.908;1.086;0.691;1.481;1.088;18.643;0.013;0.573;0.722;15.931;0.613;23.895;264143;157.98492576;240;0.649655758162774
"1080";"Jabbeke centre fédéral";51.1957525053319;3.09033992934634;"ouvert";"BEL";"non";"banlieue";"Zones industrielles ou commerciales et installations publiques";"proche_interne";"12";"121";"121";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;242300;19.269;2.333;11.805;11.739;2.335;0.771;13.318;8.909;2.375;1.977;2.443;6.676;13.191;9.296;0.421;0.043;19.721;0;17.757;13874;53.52919567;244.185385656292;-0.159956724994883
"1082";"Kapellen centre fédéral";51.3100032682377;4.45514617203433;"ouvert";"BEL";"non";"banlieue";"Tissu urbain discontinu";"proche_interne";"11";"112";"112";"dur / conversion";"base militaire";"4";"2";11488980;30670;1150093;12.958;2.646;2.945;4.102;0.545;0.558;2.567;2.594;4.005;2.15;2.321;6.68;4.368;5.337;3.489;0.064;6.071;1.08;9.655;27525;37.23061519;459;0.2952594177481
"1091";"Overjise centre fédéral";50.7678794362577;4.59203520743403;"ouvert";"BEL";"non";"banlieue";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur / conversion";"institut médical";"4";"3";11488980;30670;3337567;27.409;3.847;6.242;8.511;3.901;0.793;6.885;5.522;6.104;3.481;1.269;12.596;11.163;47.237;10.159;0.23;22.188;2.654;94.337;25509;45.04057849;65;0.17952177650937
"33";"Steenokkerzeel. Le Caricole";50.90793;4.51349;"fermé";"BEL";"non";"banlieue";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;3337567;20.336;2.479;3.446;4.29;0.392;0.246;3.79;4.613;7.636;0.765;0.25;21.264;0.417;31.734;3.597;1.892;7.748;0.129;68.151;12287;23.59795167;50;0.143003853503001
"1067";"Auderghem Centre d'observation et d'orientation";50.8056456537767;4.43506558508299;"ouvert";"BEL";"non";"ville";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur / conversion";"institut médical";"4";"3";11488980;30670;3337567;8.946;2.163;1.354;3.885;0.765;0.475;1.309;1.928;5.741;0.027;0.448;15.845;9.618;37.863;2.325;2.834;13.856;2.264;83.211;34486;8.99843234;60;1.00990827091924
"29";"Vottem CIV - \"centre pour illégaux de Vottem\"";50.66766;5.57084;"fermé";"BEL";"non";"ville";"Tissu urbain discontinu";"proche_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;799222;5.979;2.808;3.863;1.642;0.61;0.236;3.716;1.642;4.979;0.74;1.733;4.419;7.331;3.883;0.495;0.094;18.595;1.135;20.964;40346;23.4522341;60;0.66204856609174
"1086";"Machelen centre fédéral";50.882319974575;4.43850973872705;"ouvert";"BEL";"non";"banlieue";"Zones industrielles ou commerciales et installations publiques";"loin_interne";"12";"121";"121";"dur / hébergement";"pas de conversion";"4";"(manquant)";11488980;30670;3337567;11.12;2.895;2.662;4.087;2.204;0.134;1.544;2.488;1.745;1.656;1.299;21.264;1.698;30.595;1.19;1.644;5.696;0;70.057;15623;11.4967422;392;0.559621942365166
"1096";"Senonchamps centre fédéral";50.0016289214043;5.66824047421591;"ouvert";"BEL";"non";"banlieue";"Tissu urbain discontinu";"proche_interne";"11";"112";"112";"mixte containers - dur / conversion";"centre de vacances";"3";"4";11488980;30670;628211;84.155;5.512;5.069;6.175;3.502;0.106;5.68;6.42;38.5085;4.336;5.342;4.977;15.674;61.858;0.787;0.095;23.317;0.999;14.196;16393;173.02811435;100;-0.597025933449502
"1099";"Steenokkerzeel Centre d'observation et d'orientation";50.9132584489093;4.51273437969343;"ouvert";"BEL";"non";"banlieue";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;3337567;20.872;1.621;3.872;3.894;0.553;0.613;4.221;5.36;8.579;0.097;0.404;21.009;0.325;31.277;3.517;1.347;7.528;0.437;67.242;12287;23.59795167;80;0.143003853503001
"1105";"Jette centre d'accueil";50.8827331824955;4.32380200547441;"ouvert";"BEL";"non";"ville";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;3337567;9.751;1.206;0.616;0.786;0.831;0.189;0.583;0.767;1.222;0.607;0.382;20.988;8.405;26.877;1.626;1.056;7.471;0.657;68.25;53013;5.17430505;244.185385656292;1.43696265529324
"1108";"Genappe centre d'accueil";50.6137076230398;4.45326180225961;"ouvert";"BEL";"non";"banlieue";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;3337567;40.161;1.048;0.11;13.596;0.36;0.333;9.643;0.266;6.222;0.316;0.339;11.267;15.671;57.713;10.303;0.078;35.213;6.381;67.623;15565;90.28886476;244.185385656292;-0.33705276490855
"1120";"Des racines et des ailes de Manhay - centre d'accueil";50.3654007114376;5.64424063308998;"ouvert";"BEL";"non";"rural";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;799222;48.376;7.381;15.781;18.844;4.74;0.363;14.007;12.214;16.517;5.3627;7.1315;6.087;32.737;31.932;17.325;0.106;11.517;9.5254;49.586;3774;120.52144098;244.185385656292;-1.07783011715801
"1084";"Liège centre fédéral";50.6864431612386;5.55142329554191;"ouvert";"BEL";"non";"ville";"Tissu urbain discontinu";"proche_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;799222;8.927;4.573;7.666;2.095;1.878;0.167;2.846;5.221;7.848;0.166;1.849;4.578;6.959;6.129;1.505;0.403;17.545;0.842;20.087;9466;35.45664148;280;-0.14709879332541
"1128";"Berlaar - centre de réception";51.1041062212168;4.62912299772281;"ouvert";"BEL";"non";"banlieue";"Zones industrielles ou commerciales et installations publiques";"loin_interne";"12";"121";"121";"mixte containers - gymnase / conversion";"base militaire";"2";"2";11488980;30670;123408;23.981;3.963;9.398;8.603;3.87;1.223;1.984;3.816;5.688;1.458;2.881;12.933;14.222;18.444;10.79;0.127;13.506;0;46.401;11674;24.52437861;244.185385656292;0.10405397934487
"1079";"Herbeumont centre fédéral";49.7911723654166;5.24367498338229;"ouvert";"BEL";"non";"rural";"Territoires agricoles";"proche_interne";"24";"243";"24";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;628211;102.913;1.782;20.8428;7.868;2.298;1.218;10.951;16.917;38.5085;5.3627;1.802;18.007;10.476;48.815;5.386;0;16.407;8.068;17.237;1649;58.4394768;425;-1.12305336089813
"1092";"Poelkapelle centre fédéral";50.9454311853025;2.97186909507917;"ouvert";"BEL";"non";"rural";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur / conversion";"base militaire";"4";"2";11488980;30670;215272;41.465;6.275;5.956;7.742;5.394;0.053;14.2528;5.462;5.007;1.317;5.077;8.917;21.16;26.587;13.839;0.284;25.601;1.056;31.538;8117;53.10651984;250;-0.389319993770416
"1109";"Chantecler de Oignies centre d'accueil";50.0299486475758;4.63687176313582;"ouvert";"BEL";"non";"rural";"Tissu urbain discontinu";"proche_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;509138;70.23;12.399;12.819;19.7107;8.646;0.873;8.344;11.928;38.5085;1.13;1.083;7.349;18.666;18.407;17.465;0.075;13.142;6.033;4.324;5847;121.15842387;244.185385656292;-0.889988218632132
"1072";"Charleroi centre fédéral";50.4551792287487;4.46169608207466;"ouvert";"BEL";"non";"ville";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur / conversion";"institut médical";"4";"3";11488980;30670;509138;6.905;3.244;2.617;4.128;3.49;0.164;3.871;2.822;14.202;1.744;2.805;0.882;0.396;42.448;1.197;0.378;42.641;0.007;45.186;203649;102.85349769;180;0.723095519298313
"1075";"Dilbeek centre fédéral";50.8571669377756;4.2781900282318;"ouvert";"BEL";"non";"banlieue";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;3337567;10.95;2.297;2.901;1.564;1.584;1.066;2.03;1.564;2.111;1.11;0.754;18.064;12.34;28.748;0.792;0.108;11.758;1.144;72.508;43488;41.42680405;51;0.447520307502595
"1081";"Jodoigne centre fédéral";50.7134330843522;4.89289253482591;"ouvert";"BEL";"non";"rural";"Equipements sportifs et de loisirs";"loin_interne";"14";"142";"142";"dur / conversion";"base militaire";"4";"2";11488980;30670;3337567;62.008;3.432;2.636;4.367;2.981;0.323;14.2528;3.107;3.729;1.34;1.472;13.057;8.302;51.889;5.796;0.552;31.786;9.502;83.999;14715;73.69720916;260;-0.273258472872108
"1112";"Pierre Bleue d'yvoir centre d'accueil";50.3352784241005;4.8995674436679;"ouvert";"BEL";"non";"rural";"Extraction de matériaux";"loin_interne";"13";"131";"131";"mixte containers - dur";"pas de conversion";"3";"(manquant)";11488980;30670;268649;22.065;2.81;13.671;4.137;2.712;0.084;3.209;3.346;3.946;0;1.096;0;18.939;20.882;8.207;0.599;44.424;7.814;31.693;9728;57.09403452;244.185385656292;-0.342134868791445
"1069";"Borechem centre fédéral";51.1757169282429;4.58239732341935;"ouvert";"BEL";"non";"banlieue";"Zones industrielles ou commerciales et installations publiques";"loin_interne";"12";"121";"121";"dur / conversion";"base militaire";"4";"2";11488980;30670;1150093;28.061;2.599;7.469;7.708;1.978;1.248;5.888;3.463;12.608;2.046;2.389;4.446;7.617;10.862;2.422;0.09;9.752;0;34.638;19729;43.82324464;370;0.0798328461213223
"27";"Bruges CIB - \"centre pour illégaux de Bruges\"";51.20172;3.19125;"fermé";"BEL";"non";"ville";"Tissu urbain discontinu";"proche_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;242300;11.931;1.317;1.765;1.877;0.666;0.384;2.892;0.861;0.345;0.431;0.292;6.575;19.562;3.029;1.202;0.971;13.744;0.801;22.471;118961;139.24933051;112;0.358043792994128
"1102";"Woluwe-Saint-Pierre Centre d'observation et d'orientation";50.8256657912459;4.40808373944406;"ouvert";"BEL";"non";"ville";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;3337567;4.546;2.107;0.305;0.617;0.405;0.447;0.499;0.44;2.488;0.47;0.375;16.631;8.298;35.028;1.158;5.763;11.447;0.339;79.222;42193;8.93851979;60;1.10040710216464
"1142";"Sint-Lambrechts-Woluwe - centre Ariane";50.8480599293741;4.43738556954518;"ouvert";"BEL";"non";"ville";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;3337567;7.722;1.44;0.436;1.468;0.238;0.066;0.034;1.28;1.258;0.151;0.419;19.821;5.266;33.784;2.796;3.159;9.268;0.585;75.931;57810;7.30995277;244.185385656292;1.32452070097101
"1107";"Uccle centre d'accueil";50.7934906356342;4.36649743535067;"ouvert";"BEL";"non";"ville";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;3337567;7.509;4.082;3.306;1.067;1.023;0.011;0.531;1.067;3.013;0.694;0.882;12.105;12.8;37.247;3.015;1.463;15.231;3.332;84.273;84239;22.82804238;244.185385656292;0.993476835126544
"673";"Centre fermé pour femmes de Holsbeek";50.9108;4.71644;"fermé";"BEL";"non";"ville";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;3337567;40.686;0.333;2.493;4.439;0.468;0.314;2.635;1.852;3.939;0.372;0.317;21.264;13.267;39.658;1.701;0.451;20.251;0.81;78.386;102031;57.53532597;14;0.675229867771874
"1095";"Schaerbeek Centre d'observation et d'orientation";50.8663145837749;4.38588150347866;"ouvert";"BEL";"non";"ville";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur / hébergement";"pas de conversion";"4";"(manquant)";11488980;30670;3337567;5.601;1.328;1.172;0.547;0.241;0.026;1.684;0.86;1.269;0.168;0.656;20.138;5.321;30.274;1.302;3.378;7.013;1.433;71.769;133315;7.91449294;70;1.65288822354852
"1087";"Molenbeek-Saint-Jean centre fédéral";50.8641425010439;4.30796413042612;"ouvert";"BEL";"non";"ville";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur / conversion";"institut médical";"4";"3";11488980;30670;3337567;8.563;0.997;2.576;0.496;0.568;0.159;2.235;1.422;1.763;0.136;0.558;18.837;10.108;28.502;1.667;1.53;9.729;1.104;71.474;21982;1.17892899;300;1.69240023671291
"1094";"Rixensart centre fédéral";50.7201897845808;4.5301561428582;"ouvert";"BEL";"non";"banlieue";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur / conversion";"institut médical";"4";"3";11488980;30670;3337567;27.037;1.614;4.918;1.92;0.746;0.832;1.263;1.92;7.177;0.857;0.283;9.518;15.855;49.399;13.583;0.203;24.846;3.729;87.564;22873;17.4748389;170;0.543342251850142
"1106";"Evere centre d'urgence";50.874321561203;4.41295162151805;"ouvert";"BEL";"non";"ville";"Zones industrielles ou commerciales et installations publiques";"loin_interne";"12";"121";"121";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;3337567;8.23;1.073;0.978;0.942;0.969;0.063;0.643;0.935;1.255;0.226;0.168;21.264;3.398;30.392;1.268;3.131;6.07;0;70.858;42783;5.12280205;244.185385656292;1.34819596251997
"1070";"Centre d'arrivée du 'Petit Château'";50.8555170806029;4.34416435804809;"ouvert";"BEL";"non";"ville";"Tissu urbain continu";"loin_interne";"11";"111";"111";"dur / conversion";"base militaire";"4";"2";11488980;30670;3337567;4.53;0.574;0.86;0.996;0.505;0.335;0.348;0.996;1.014;0.337;0.322;18.206;8.35;30.215;1.129;3.597;9.085;0.377;73.175;204458;32.77139496;244.185385656292;1.22154148266629
"1071";"Bordet centre fédéral";50.8339855941697;4.3471745038267;"ouvert";"BEL";"non";"ville";"Tissu urbain continu";"loin_interne";"11";"111";"111";"dur / conversion";"institut médical";"4";"3";11488980;30670;3337567;2.642;1.205;0.453;0.012;0.195;0.159;0.137;0.653;1.498;0.367;0.103;15.913;9.804;32.542;0.655;4.695;11.208;1.195;76.985;204458;32.77139496;140;1.22154148266629
"1119";"Visages du monde d'Arlon - centre d'accueil";49.6861647147384;5.78414899892404;"ouvert";"BEL";"non";"banlieue";"Territoires agricoles";"proche_interne";"24";"242";"24";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;628211;40.095;3.613;0.853;4.067;0.67;0.151;0.401;2.889;2.991;1.258;1.257;5.979;29.644;47.958;0.276;0;3.902;0.032;6.361;30862;118.93190219;244.185385656292;-0.159441995531698
"1138";"Linkeroever - centre d'hébergement";51.2068727837506;4.36347796427983;"ouvert";"BEL";"non";"ville";"Forêts et milieux semi-naturels";"proche_interne";"32";"322";"32";"dur / conversion";"base militaire";"4";"2";11488980;30670;1150093;9.563;4.532;2.989;2.344;2.343;0.063;3.481;3.231;4.072;1.384;3.216;0.562;6.28;0.596;0.314;1.69;5.751;0.716;12.984;530944;204.1372801;244.185385656292;0.841558695940333
"1145";"Wingene - centre d'accueil";51.0878954921738;3.33608635866369;"ouvert";"BEL";"non";"rural";"Zones industrielles ou commerciales et installations publiques";"proche_interne";"12";"121";"121";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;242300;34.067;8.416;10.658;4.518;4.143;0.102;6.538;9.686;5.44;3.731;3.619;10.626;10.112;16.927;10.681;0.324;4.558;0;28.305;14579;68.33189002;244.185385656292;-0.244463394697864
"1143";"Sint-Laureins - centre d'accueil";51.2416874719028;3.52195771470883;"ouvert";"BEL";"non";"rural";"Tissu urbain discontinu";"proche_interne";"11";"112";"112";"dur / conversion";"hôpital";"4";"2";11488980;30670;242300;33.647;0.253;10.992;8.859;0.319;0.27;6.744;14.683;11.062;5.3627;4.062;14.872;10.155;17.195;20.539;0.279;12.428;4.554;2.221;6823;74.69998454;244.185385656292;-0.612912838090689
"1118";"La Jastrée de Barvaux - centre d'accueil";50.3598146893005;5.49429211949798;"ouvert";"BEL";"non";"rural";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;799222;48.701;1.449;4.485;19.7107;1.532;1.631;2.031;12.166;1.872;1.133;4.414;3.796;29.915;33.851;21.553;0.179;18.439;9.5254;62.048;11459;157.0259605;244.185385656292;-0.710392436597798
"1117";"Couleurs du monde de Rendeux - centre d'accueil";50.2351716834974;5.50884324395303;"ouvert";"BEL";"non";"rural";"Tissu urbain discontinu";"loin_interne";"11";"112";"112";"dur";"pas de conversion";"4";"(manquant)";11488980;30670;799222;70.156;0.125;8.98;18.11;8.86589999999999;0.072;11.356;17.3008;19.905;0.369;0.111;5.84;22.08;47.178;19.949;0.21;11.524;9.5254;47.071;2928;69.38880695;244.185385656292;-0.948286045478457
